ID Region Lon_degree Lon_minute Lon_second Lat_degree Lat_minute Lat_second Height

AMAR Beja 352 46 19.6  38 12 31.3   266.3
BNAF Beja 351 52 23.9  37 13 56.5   333.1
MERT Beja 352 20 23.8  37 38 47.6   134.0
ODEM Beja 351 22  7.5  37 35 55.2   135.2
SCAC Beja 351 18 26.7  38  1  7.6   277.0
SMA1 Beja 352 14 52.9  38 27 33.2   244.7
TRRA Beja 351 46 51.0  38 17 27.0   169.3

AJAL Burgos 357 43 35.0  41 12 57.8   884.2
ARDU Burgos 356 15 26.7  41 39 56.9   844.5
BUOS Burgos 356 55 55.4  41 35 17.1   964.0
CALH Burgos 358  0 17.9  42 17 41.8   411.4
CRPO Burgos 354 53 24.9  41 12 50.3   827.9
LEON Burgos 354 20 56.5  42 35 18.3   970.2
MDNR Burgos 354 57  4.8  41 53 19.6   811.5
MDPM Burgos 356 30 59.1  42 56 28.8   659.0

BRET Paris 2 18 53.9 48 36 37.2 140.3
COR1 Paris 2 28 32.1 48 35 38.0 141.4
ISLA Paris 2 12 23.2 49 6 13.8 81.6
IXSG Paris 2 3 50.4 48 53 57.8 153.5
LNE1 Paris 1 59 0.4 48 45 38.6 225.7
MLVL Paris 2 35 14.3 48 50 27.8 160.5
NATR Paris 2 13 7.0 48 55 3.3 86.8
SBGS Paris 2 10 2.7 48 54 35.9 110.6
SIR4 Paris 2 12 30.6 48 42 43.8 217.5
TGR1 Paris 1 56 55.9 48 50 28.9 191.5
VILB Paris 2 12 58.5 48 41 29.1 211.7

BRTM Brive-la-Gaillarde 0 38 57.9  45 21 49.1   164.2
EGLT Brive-la-Gaillarde 2  3  7.2  45 24 12.1   667.0
GRJF Brive-la-Gaillarde 1 30 50.2  45 18 10.6   458.6
LAMU Brive-la-Gaillarde 1 34  3.6  44 38 51.6   508.5
LBUG Brive-la-Gaillarde 0 55 16.0  44 56 43.4   266.5
MSRT Brive-la-Gaillarde 1 31 17.0  45 32 29.1   566.2
SAR4 Brive-la-Gaillarde 1  9 10.7  45 10 10.1   264.4
SMLM Brive-la-Gaillarde 1 59 12.8  45 10 15.2   556.5

BFO1 Tübingen 8 19 29.8 48 19 49.8 690.3
D384 Tübingen 9 10 15.3 48 46 46.1 341.0
D391 Tübingen 9 48 8.6 48 35 8.5 736.3
D396 Tübingen 9 47 35.7 48 6 0.4 599.3
D398 Tübingen 8 24 56.8 48 27 52.1 784.4
D402 Tübingen 8 31 39.2 48 4 23.1 790.9

ASS2 Groningen 6 33 52.6  52 58 39.7    69.5
BEDU Groningen 6 33 57.4  53 17 58.8    43.2
BRNH Groningen 6 40 40.3  53 18 36.9    42.9
GRIJ Groningen 6 18 29.7  53 16 51.1    48.8
HAR2 Groningen 6 36 16.7  53  8 54.0    45.4
RANU Groningen 6 30  3.4  53 19 58.0    43.7
SAP3 Groningen 6 48  1.3  53  9 22.1    44.6
STIL Groningen 6 28 55.3  53 15 41.7    45.1
